@relation 'estacao'

@attribute umidade real
@attribute velocidade_vento real
@attribute chuva real
@attribute radicao_solar real
@attribute et real
@attribute classe {Frio,Normal,Quente}
 
@data
48,2.7,0.00,696,0.48,Normal
46,2.2,0.00,695,0.48,Normal
43,1.8,0.00,632,0.46,Normal
42,1.3,0.00,510,0.36,Normal
39,0.9,0.00,344,0.25,Normal
47,0.0,0.00,137,0.10,Normal
58,0.0,0.00,9,0.03,Normal
63,0.0,0.00,0,0.03,Normal
73,0.0,0.00,0,0.03,Frio
77,0.0,0.00,0,0.03,Frio
79,0.0,0.00,0,0.03,Frio
82,0.0,0.00,0,0.03,Frio
82,0.0,0.00,0,0.03,Frio
82,0.0,0.00,0,0.03,Frio
83,0.0,0.00,0,0.03,Frio
86,0.0,0.00,0,0.00,Frio
83,0.0,0.00,0,0.00,Frio
88,0.0,0.00,0,0.00,Frio
89,0.0,0.00,0,0.00,Frio
93,0.0,0.00,5,0.00,Frio
79,0.0,0.00,139,0.08,Frio
69,0.9,0.00,349,0.20,Normal
63,2.7,0.00,513,0.33,Normal
59,2.2,0.00,630,0.41,Normal
54,1.8,0.00,689,0.46,Normal
51,1.8,0.00,685,0.46,Normal
46,1.8,0.00,619,0.43,Normal
45,0.9,0.00,499,0.36,Normal
45,1.3,0.00,336,0.25,Normal
49,0.9,0.00,129,0.10,Normal
57,0.0,0.00,8,0.03,Normal
81,0.0,0.00,0,0.03,Normal
81,0.0,0.00,0,0.03,Frio
83,0.0,0.00,0,0.03,Frio
86,0.0,0.00,0,0.00,Frio
85,0.0,0.00,0,0.00,Frio
84,0.0,0.00,0,0.00,Frio
83,0.0,0.00,0,0.00,Frio
84,0.0,0.00,0,0.00,Frio
83,0.0,0.00,0,0.00,Frio
81,0.0,0.00,0,0.00,Frio
81,0.0,0.00,0,0.03,Frio
83,0.0,0.00,0,0.03,Frio
89,0.0,0.00,5,0.00,Frio
82,0.0,0.00,138,0.08,Frio
65,0.9,0.00,349,0.20,Normal
58,1.8,0.00,514,0.33,Normal
57,1.8,0.00,629,0.41,Normal
52,1.3,0.00,683,0.46,Normal
46,1.3,0.00,686,0.46,Normal
45,1.3,0.00,623,0.43,Quente
40,1.3,0.00,507,0.38,Quente
44,1.3,0.00,339,0.25,Quente
47,0.4,0.00,138,0.13,Quente
58,0.0,0.00,9,0.03,Normal
70,0.4,0.00,0,0.03,Normal
78,0.4,0.00,0,0.03,Frio
83,0.4,0.00,0,0.03,Frio
78,0.0,0.00,0,0.03,Frio
89,0.0,0.00,0,0.00,Frio
85,0.0,0.00,0,0.00,Frio
89,0.0,0.00,0,0.00,Frio
88,0.0,0.00,0,0.00,Frio
85,0.0,0.00,0,0.00,Frio
88,0.0,0.00,0,0.00,Frio
86,0.0,0.00,0,0.00,Frio
87,0.0,0.00,0,0.00,Frio
89,0.0,0.00,6,0.00,Frio
76,0.0,0.00,134,0.08,Frio
66,0.4,0.00,342,0.20,Normal
59,0.9,0.00,505,0.33,Normal
53,2.2,0.00,622,0.43,Normal
51,2.2,0.00,686,0.48,Normal
50,2.2,0.00,670,0.48,Normal
51,2.2,0.00,615,0.43,Normal
49,1.8,0.00,496,0.36,Normal
50,1.8,0.00,334,0.25,Normal
56,1.8,0.00,133,0.13,Normal
69,0.9,0.00,9,0.03,Normal
74,0.9,0.00,0,0.03,Normal
74,0.9,0.00,0,0.03,Frio
82,0.9,0.00,0,0.03,Frio
84,0.4,0.00,0,0.03,Frio
85,1.3,0.00,0,0.03,Frio
85,0.9,0.00,0,0.03,Frio
86,1.3,0.00,0,0.03,Frio
85,1.3,0.00,0,0.03,Frio
85,2.2,0.00,0,0.03,Frio
86,2.2,0.00,0,0.03,Frio
91,0.9,0.00,0,0.00,Frio
92,0.9,0.00,0,0.00,Frio
92,1.3,0.00,5,0.00,Frio
88,1.8,0.00,130,0.08,Frio
81,2.2,0.00,337,0.20,Frio
73,4.0,0.00,503,0.33,Normal
71,4.0,0.00,619,0.41,Normal
64,3.6,0.00,681,0.46,Normal
60,3.1,0.00,687,0.48,Normal
