@relation estacao-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute umidade numeric
@attribute velocidade_vento numeric
@attribute chuva numeric
@attribute radicao_solar numeric
@attribute et numeric
@attribute classe {Frio,Normal,Quente}

@data
0.649123,0.288889,0,0,0.058824,Frio
0.77193,0.288889,0,0,0.058824,Frio
0.824561,0.4,0,0,0.058824,Frio
0.877193,0.2,0,0,0,Frio
0.964912,0,0,0,0,Frio
1,0,0,0,0,Frio
1,0.2,0,0.010243,0,Frio
0.877193,0.488889,0,0.206146,0.156863,Frio
0.754386,0.688889,0,0.440461,0.392157,Normal
0.614035,0.8,0,0.640205,0.588235,Normal
0.491228,0.888889,0,0.830986,0.745098,Normal
0.438596,1,0,0.764405,0.745098,Normal
0.350877,0.888889,0,0.829706,0.843137,Normal
0.403509,0.8,0,0.677337,0.745098,Normal
0.350877,0.6,0,0.402049,0.45098,Normal
0.368421,0.488889,0,0.394366,0.45098,Normal
0.421053,0.4,0,0.224072,0.294118,Normal
0.526316,0.088889,0,0.020487,0.058824,Normal
0.631579,0,0,0,0.058824,Normal
0.631579,0.088889,0,0,0.058824,Frio
0.614035,0.4,0,0,0.058824,Frio
0.666667,0.4,0,0,0.058824,Frio
0.666667,0.4,0,0,0.058824,Frio
0.719298,0.6,0,0,0.058824,Frio
0.754386,0.488889,0,0,0.058824,Frio
0.789474,0.4,0,0,0.058824,Frio
0.824561,0.4,0,0,0.058824,Frio
0.877193,0.4,0,0,0,Frio
0.964912,0.488889,0,0,0,Frio
1,0.488889,0,0,0,Frio
1,0.488889,0,0.011524,0,Frio
0.894737,0.488889,0,0.192061,0.156863,Frio
0.719298,0.688889,0,0.439181,0.392157,Normal
0.666667,1,0,0.632522,0.588235,Normal
0.578947,0.888889,0,0.588988,0.588235,Normal
0.54386,0.688889,0,0.53137,0.588235,Normal
0.54386,0.8,0,0.642766,0.745098,Normal
0.45614,0.688889,0,0.471191,0.54902,Normal
0.473684,0.6,0,0.512164,0.54902,Normal
0.45614,0.6,0,0.259923,0.352941,Normal
0.491228,0.488889,0,0.174136,0.254902,Normal
0.666667,0.088889,0,0.012804,0.058824,Normal
0.701754,0.088889,0,0,0.058824,Frio
0.719298,0.2,0,0,0.058824,Frio
0.789474,0.288889,0,0,0.058824,Frio
0.824561,0.088889,0,0,0,Frio
0.894737,0.088889,0,0,0,Frio
0.877193,0.2,0,0,0,Frio
0.947368,0,0,0,0,Frio
0.947368,0.2,0,0,0,Frio
0.982456,0.088889,0,0,0,Frio
1,0.088889,0,0,0,Frio
1,0.088889,0,0,0,Frio
1,0.2,0,0,0,Frio
1,0.2,0,0.008963,0,Frio
1,0.288889,0,0.084507,0.058824,Frio
1,0.488889,1,0.084507,0.058824,Frio
1,0.488889,0.80315,0.203585,0.196078,Frio
