@relation 'estacao'

@attribute umidade real
@attribute velocidade_vento real
@attribute chuva real
@attribute radicao_solar real
@attribute et real
@attribute classe {Frio,Normal,Quente}
 
@data
68,4.5,0.00,597,0.38,Normal
63,4.0,0.00,648,0.43,Normal
66,3.6,0.00,529,0.38,Normal
63,2.7,0.00,314,0.23,Normal
64,2.2,0.00,308,0.23,Normal
67,1.8,0.00,175,0.15,Normal
73,0.4,0.00,16,0.03,Normal
79,0.0,0.00,0,0.03,Normal
79,0.4,0.00,0,0.03,Frio
78,1.8,0.00,0,0.03,Frio
81,1.8,0.00,0,0.03,Frio
81,1.8,0.00,0,0.03,Frio
84,2.7,0.00,0,0.03,Frio
86,2.2,0.00,0,0.03,Frio
88,1.8,0.00,0,0.03,Frio
90,1.8,0.00,0,0.03,Frio
93,1.8,0.00,0,0.00,Frio
98,2.2,0.00,0,0.00,Frio
100,2.2,0.00,0,0.00,Frio
100,2.2,0.00,9,0.00,Frio
94,2.2,0.00,150,0.08,Frio
84,3.1,0.00,343,0.20,Normal
81,4.5,0.00,494,0.30,Normal
76,4.0,0.00,460,0.30,Normal
74,3.1,0.00,415,0.30,Normal
74,3.6,0.00,502,0.38,Normal
69,3.1,0.00,368,0.28,Normal
70,2.7,0.00,400,0.28,Normal
69,2.7,0.00,203,0.18,Normal
71,2.2,0.00,136,0.13,Normal
81,0.4,0.00,10,0.03,Normal
83,0.4,0.00,0,0.03,Frio
84,0.9,0.00,0,0.03,Frio
88,1.3,0.00,0,0.03,Frio
90,0.4,0.00,0,0.00,Frio
94,0.4,0.00,0,0.00,Frio
93,0.9,0.00,0,0.00,Frio
97,0.0,0.00,0,0.00,Frio
97,0.9,0.00,0,0.00,Frio
99,0.4,0.00,0,0.00,Frio
100,0.4,0.00,0,0.00,Frio
100,0.4,0.00,0,0.00,Frio
100,0.9,0.00,0,0.00,Frio
100,0.9,0.00,7,0.00,Frio
100,1.3,0.00,66,0.03,Frio
100,2.2,1.27,66,0.03,Frio
100,2.2,1.02,159,0.10,Frio
93,3.1,0.00,210,0.13,Frio
90,3.1,0.00,215,0.13,Normal
87,3.1,0.00,197,0.13,Normal
82,2.7,0.00,315,0.23,Normal
80,2.7,0.00,237,0.18,Normal
71,2.2,0.00,342,0.23,Normal
71,3.1,0.00,157,0.15,Normal
91,1.3,0.00,11,0.03,Normal
96,0.4,0.00,0,0.00,Frio
93,1.8,0.00,0,0.00,Frio
96,2.7,0.00,0,0.00,Frio
99,1.8,0.00,0,0.00,Frio
100,1.3,0.00,0,0.00,Frio
100,0.9,0.00,0,0.00,Frio
100,1.3,0.25,0,0.00,Frio
100,1.3,0.00,0,0.00,Frio
100,1.8,0.00,0,0.00,Frio
100,1.3,0.00,0,0.00,Frio
100,1.3,0.00,0,0.00,Frio
100,1.3,0.00,0,0.00,Frio
100,0.9,0.00,6,0.00,Frio
99,0.9,0.00,62,0.03,Frio
89,2.2,0.00,158,0.10,Frio
82,3.1,0.00,398,0.23,Normal
79,2.7,0.00,659,0.38,Normal
72,1.8,0.00,367,0.30,Normal
64,1.3,0.00,452,0.33,Normal
62,0.4,0.00,645,0.38,Normal
63,0.9,0.00,418,0.28,Normal
63,0.9,0.00,395,0.25,Normal
75,1.3,0.00,182,0.13,Normal
81,0.4,0.00,19,0.03,Normal
83,0.4,0.00,0,0.03,Normal
83,0.4,0.00,0,0.03,Normal
88,0.4,0.00,0,0.03,Frio
87,1.3,0.00,0,0.03,Frio
88,1.3,0.00,0,0.03,Frio
91,2.2,0.00,0,0.03,Frio
95,1.3,0.00,0,0.00,Frio
99,0.0,0.00,0,0.00,Frio
100,0.0,0.00,0,0.00,Frio
100,0.0,0.00,0,0.00,Frio
100,0.4,0.00,0,0.00,Frio
100,0.0,0.00,0,0.00,Frio
100,0.4,0.00,5,0.00,Frio
97,0.9,0.00,138,0.08,Frio
88,1.8,0.00,331,0.18,Normal
87,4.0,0.00,389,0.23,Normal
81,3.6,0.00,613,0.38,Normal
79,2.7,0.00,548,0.36,Normal
75,1.8,0.00,374,0.28,Normal
73,1.8,0.00,401,0.30,Normal
72,1.8,0.00,343,0.25,Normal
73,1.8,0.00,275,0.20,Normal
78,1.3,0.00,162,0.13,Normal
89,0.4,0.00,12,0.03,Normal
90,0.4,0.00,0,0.00,Frio
94,0.4,0.00,0,0.00,Frio
