@relation inmet_araxa-weka.filters.unsupervised.attribute.Remove-R1

@attribute umid_inst numeric
@attribute pressao numeric
@attribute vento_direcao numeric
@attribute vento_vel numeric
@attribute radiacao numeric
@attribute classe {Frio,Normal,Quente}

@data
72,902.3,6.2,112,1754,Normal
68,902.5,6,107,2186,Normal
62,902.4,5.1,98,2662,Quente
61,901.7,4.6,112,2804,Quente
58,901.1,4.8,113,3026,Quente
52,900.1,3.3,85,3211,Quente
50,899.4,3.4,51,2172,Quente
56,899.6,3.6,30,1278,Quente
74,899.8,3.1,279,222,Normal
76,900.7,3.3,145,65.73,Normal
78,900.9,3.7,108,0.949,Normal
83,901.4,1.3,127,-3.36,Normal
81,902.5,2,122,-3.43,Normal
85,902.7,2.8,89,-3.53,Normal
85,902.6,3.2,80,-3.41,Normal
85,902.5,3.5,86,-3.11,Normal
84,902.4,3.4,89,-2.94,Normal
88,902.4,3,85,-3.24,Normal
86,901.8,3.8,86,-1.49,Normal
86,901.5,2.5,102,0.432,Normal
85,901.9,2.8,94,-0.73,Normal
85,901.7,4.5,95,-2.66,Normal
83,902.3,4.9,96,34.1,Normal
81,903.3,5.7,94,365.3,Normal
79,903.9,5.2,91,915.8,Normal
73,904.2,5.2,78,883,Normal
69,904.1,4.7,75,1646,Normal
67,903.7,4.6,61,2133,Normal
67,903.4,4.5,71,1278,Normal
64,902.6,3.4,45,1566,Normal
65,902.1,3,51,1542,Normal
62,901.7,3.3,50,1284,Normal
60,901.6,2.4,42,1278,Quente
66,902,2.2,69,478.7,Normal
71,902.4,3.1,72,18.13,Normal
77,903.1,3.7,58,-3.46,Normal
79,903.5,3.7,78,-3.18,Normal
81,903.8,5.2,77,-3.01,Normal
83,903.9,4,85,-3.49,Normal
83,903.8,4.1,85,-3.52,Normal
86,903.7,2.7,96,-3.54,Normal
85,903.2,2.8,83,-3.37,Normal
86,903.2,2.7,98,-2.78,Normal
86,903.2,3.2,96,-3.51,Normal
