@relation inmet_araxa-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R2

@attribute umid_inst numeric
@attribute vento_direcao numeric
@attribute vento_vel numeric
@attribute radiacao numeric
@attribute classe {Frio,Normal,Quente}

@data
81,5.2,77,-3.01,Normal
83,4,85,-3.49,Normal
83,4.1,85,-3.52,Normal
86,2.7,96,-3.54,Normal
85,2.8,83,-3.37,Normal
86,2.7,98,-2.78,Normal
86,3.2,96,-3.51,Normal
85,3.3,105,-3.52,Normal
85,2.9,82,-2.35,Normal
85,3.7,94,20.34,Normal
80,4.4,97,306,Normal
70,4.2,85,1432,Normal
71,3.8,72,1616,Normal
63,3.1,54,1818,Normal
59,3.4,63,2506,Normal
55,2.8,21,3028,Quente
53,2,80,1791,Quente
55,1.4,17,1146,Quente
53,2.6,318,2337,Quente
50,1.1,157,1452,Quente
54,1.4,121,546.2,Quente
64,4,156,11.33,Normal
81,0.3,109,-3.48,Normal
79,1.2,105,-3.54,Normal
80,1.1,123,-3.54,Normal
77,1.2,126,-3.53,Normal
74,2.1,120,-3.28,Normal
80,3.6,109,-2.04,Normal
83,4.3,99,-3.54,Normal
85,3.8,98,-2.89,Normal
85,3,102,-3.54,Normal
84,3.9,102,-3.54,Normal
85,3.3,99,-3.53,Normal
85,4.8,111,43.47,Normal
82,4.2,104,281.7,Normal
77,4.3,100,779.1,Normal
70,4.2,101,1370,Normal
64,4.3,85,2089,Normal
57,3.4,72,2792,Quente
56,3.4,80,2626,Quente
53,3,98,2537,Quente
49,2.9,82,2733,Quente
52,3.2,111,1550,Quente
56,3.8,99,983.1,Quente
61,3.6,107,201.3,Normal
66,3.5,113,1.569,Normal
70,2.5,109,-3.54,Normal
72,2.7,105,-3.54,Normal
74,3.3,107,-3.54,Normal
76,3.3,90,-3.49,Normal
78,3.9,105,-3.54,Normal
79,2.5,89,-3.54,Normal
81,3.1,99,-3.54,Normal
80,3.7,96,-3.17,Normal
80,3.9,103,-3.27,Normal
82,4,112,-3.37,Normal
83,2.7,99,-3.54,Normal
82,3.4,99,75.91,Normal
75,3,91,623.9,Normal
72,4.4,88,1270,Normal
63,4.5,86,2337,Normal
60,4.8,78,2913,Normal
58,3,75,1886,Quente
55,3.5,85,2533,Quente
55,1.8,15,1537,Quente
65,3,5,1001,Normal
64,3,47,738.3,Normal
92,4.9,85,88.77,Normal
92,0.9,123,5.174,Normal
91,1.5,126,-2.41,Normal
93,1.8,215,-1.89,Normal
92,1.3,102,-2.6,Normal
93,0.8,268,-2.49,Normal
93,0.7,210,-3.14,Normal
93,0.4,139,-2.5,Normal
93,0.1,335,-2.53,Normal
93,0.6,161,-3.22,Normal
92,2.1,89,-2.16,Normal
88,6,119,0.286,Frio
89,3.9,116,-3.29,Frio
90,4,118,-2.55,Normal
90,2.5,101,52.75,Normal
87,3.3,98,349.4,Normal
80,4.9,96,1316,Normal
73,4.8,83,2159,Normal
69,4.3,68,1978,Normal
64,3.4,56,2130,Normal
60,1.5,38,3215,Quente
59,2,73,2244,Quente
61,1.7,44,895.6,Quente
61,3.1,117,1425,Quente
68,3.4,56,601.5,Normal
73,1.7,38,132.9,Normal
80,1.4,311,1.016,Normal
84,1.1,199,-3.54,Normal
84,0.9,192,-3.54,Normal
85,0.2,154,-3.54,Normal
87,0.7,182,-3.54,Normal
87,0.1,123,-3.54,Normal
85,0.3,56,-3.54,Normal
86,3.1,89,-3.47,Normal
88,3,100,-3.53,Normal
87,3,103,-3.54,Normal
87,3.2,99,-3.54,Normal
88,3.6,94,-3.54,Normal
87,2.7,103,50.59,Normal
81,4.2,96,699.1,Normal
75,3.7,86,966.4,Normal
68,4.5,75,1538,Normal
66,3.4,76,2794,Normal
59,3.6,74,2845,Quente
54,3.1,63,2668,Quente
50,3.8,47,2421,Quente
50,3.3,50,2120,Quente
51,4,45,1446,Quente
56,3.3,86,700.7,Quente
58,1.5,94,220,Normal
65,1.8,95,0.689,Normal
68,2.4,96,-3.54,Normal
71,2.8,100,-3.54,Normal
75,2.8,105,-3.54,Normal
77,2.8,103,-3.54,Normal
78,2.6,104,-3.54,Normal
76,2.6,90,-3.54,Normal
76,2.5,100,-3.54,Normal
78,3.3,93,-3.53,Normal
80,3.7,92,-3.53,Normal
82,3.5,96,-3.51,Normal
83,3.2,89,-3.52,Normal
82,3.3,70,27.15,Normal
81,2.5,26,300.6,Normal
79,3.5,23,581.3,Normal
79,2.9,29,806.3,Normal
80,1.9,27,319.2,Normal
87,3.1,34,337.2,Normal
91,2.3,16,439.6,Normal
90,1.4,4,760.2,Normal
82,1.5,345,1395,Normal
78,0.7,342,887.9,Normal
74,0.3,344,1038,Normal
78,1.6,71,453.5,Normal
81,1.5,88,3.911,Normal
85,2.3,97,-3.54,Normal
86,2.2,93,-3.53,Normal
85,2.5,95,-3.49,Normal
86,1.6,96,-3.22,Normal
87,2.5,107,-2.86,Normal
89,2.4,94,-2.56,Normal
91,2.7,85,-3.24,Normal
91,3.2,90,-2.45,Normal
91,2.4,84,-2.8,Normal
92,1.3,63,-3.22,Normal
92,0.1,107,-3.51,Normal
90,0,193,100.9,Normal
87,1.2,359,665.4,Normal
80,1.1,16,902.1,Normal
75,0.9,250,1403,Normal
66,1.6,74,2624,Quente
59,2.2,338,3009,Quente
62,2,318,2287,Quente
60,3.3,316,2964,Quente
53,2.4,312,3208,Quente
59,2.6,289,1322,Quente
92,3,191,144.4,Normal
83,2,91,193.2,Normal
83,2.9,115,6.109,Normal
84,2.9,114,-3.06,Normal
81,1.7,98,-3.17,Normal
85,2.4,80,-3.52,Normal
89,0.6,135,-3.54,Normal
88,1.3,120,-3.54,Normal
89,0.6,81,-3.54,Normal
90,1.7,56,-3.5,Normal
89,2.3,73,-3.49,Normal
90,0.8,131,-3.32,Normal
90,0.5,93,-2.98,Normal
90,0.9,92,-3.19,Normal
90,1,85,25.38,Normal
86,0.1,122,334.3,Normal
72,0.2,195,1434,Normal
71,0.8,29,2651,Normal
60,1.3,297,2951,Quente
58,1.5,257,3076,Quente
50,1.1,321,3587,Quente
49,2.2,261,2572,Quente
63,3.1,159,1775,Quente
76,2.8,198,167.7,Normal
71,2.1,197,378.3,Normal
72,1.6,171,229.6,Normal
72,1.5,92,1.843,Normal
75,1.6,120,-3.49,Normal
81,2.8,77,-3.53,Normal
82,1.1,130,-3.37,Normal
80,1.6,105,-3.52,Normal
86,1.1,258,-3.54,Normal
89,1.2,201,-3.54,Normal
82,5.1,103,-3.54,Normal
86,4.3,93,-3.54,Normal
87,3.3,96,-3.54,Normal
89,2.5,100,-3.52,Normal
87,0.7,116,-3.54,Normal
83,1,102,62.08,Normal
76,2,88,761.9,Normal
68,2.3,65,1647,Normal
63,3.4,51,2385,Normal
61,2.5,44,2918,Quente
60,2.4,37,2668,Quente
52,2.4,41,2549,Quente
50,1.3,124,1687,Quente
50,2,242,2895,Quente
49,1.9,250,2327,Quente
65,4.7,101,536.5,Normal
74,2.9,68,145.3,Normal
80,2.2,115,12.9,Normal
88,0.4,319,-3.43,Normal
